iter	RMSE
0	0.4026012419
1	0.3842894881
2	0.3672450011
3	0.3508850805
4	0.33499629
5	0.3199374626
6	0.3054234627
7	0.2920726033
8	0.2790914421
9	0.266922921
10	0.2550983155
11	0.2437788629
12	0.2332881816
13	0.2232789178
14	0.2134264073
15	0.2040487998
16	0.1952404776
17	0.1868842345
18	0.178765302
19	0.1709061892
20	0.1636874506
21	0.1567171419
22	0.1500268886
23	0.1436149684
24	0.1373466517
25	0.1313993954
26	0.1257968239
27	0.120501244
28	0.1152928704
29	0.1106021799
30	0.1060364386
31	0.1015574681
32	0.09738639672
33	0.093418571
34	0.08953637387
35	0.08595199133
36	0.08248903145
37	0.07906066636
38	0.07581721425
39	0.07281077947
40	0.06981532305
41	0.06695503137
42	0.06431235367
43	0.06174614567
44	0.05931634339
45	0.05697042438
46	0.05472554088
47	0.05263462803
48	0.05055612633
49	0.04865495781
50	0.046828246
51	0.04510074223
52	0.04336647205
53	0.04173232356
54	0.04021098621
55	0.03870533186
56	0.03728510317
57	0.0360256896
58	0.03471855984
59	0.03345894396
60	0.03227573291
61	0.03113989844
62	0.0300648605
63	0.02904533024
64	0.02804747241
65	0.02710033815
66	0.02621028837
67	0.0253545592
68	0.02452219898
69	0.02371458973
70	0.02294335667
71	0.02222022522
72	0.02152810996
73	0.02088629055
74	0.02025785271
75	0.01966616334
76	0.01909346931
77	0.01855400782
78	0.01801860119
79	0.01751279133
80	0.01705060268
81	0.01659442884
82	0.01619908329
83	0.01578440641
84	0.0153974357
85	0.01503214584
86	0.01468663382
87	0.01436475249
88	0.01405661809
89	0.01375639123
90	0.01347522052
91	0.01321126804
92	0.01294965729
93	0.01271656483
94	0.01247613156
95	0.01227102568
96	0.01207299371
97	0.01187803727
98	0.01169345105
99	0.01151902969
100	0.01135275863
101	0.01120218827
102	0.01106721332
103	0.01093135048
104	0.01080880271
105	0.01068528184
106	0.01057392402
107	0.01046302245
108	0.01036083361
109	0.01026044336
110	0.01016369693
111	0.01007003595
112	0.009983887128
113	0.009899304836
114	0.009817219535
115	0.009743246982
116	0.009668919491
117	0.00960616066
118	0.009543925164
119	0.009480174467
120	0.009413556194
121	0.009351765885
122	0.009298745001
123	0.009252209976
124	0.009205869677
125	0.009152369048
126	0.009106570303
127	0.009063018856
128	0.00902411953
129	0.008985871578
130	0.008935554762
131	0.008888096952
132	0.008854490659
133	0.008827642609
134	0.008793410834
135	0.008760568212
136	0.00872257654
137	0.008694347202
138	0.008661290994
139	0.008632258774
140	0.008603088376
141	0.00858126821
142	0.008554557002
143	0.008530705411
144	0.008507495321
145	0.008483687931
146	0.008466562
147	0.008440806011
148	0.008420434327
149	0.008403392916
150	0.008384302156
151	0.008367205249
152	0.008346229114
153	0.008323908486
154	0.00829566722
155	0.008260595056
156	0.008229399591
157	0.00821185158
158	0.008181330079
