iter	Passed	Remaining
407	5813	65428
408	5829	65439
409	5847	65457
410	5863	65464
411	5879	65468
412	5893	65459
413	5909	65457
414	5925	65461
415	5938	65441
416	5953	65435
417	5970	65446
418	5985	65441
419	6000	65435
420	6015	65426
421	6031	65428
422	6046	65422
423	6061	65415
424	6075	65401
425	6090	65398
426	6106	65401
427	6124	65425
428	6141	65436
429	6156	65435
430	6173	65443
431	6188	65442
432	6206	65461
433	6220	65445
434	6235	65436
435	6250	65425
436	6264	65410
437	6280	65413
438	6297	65431
439	6312	65420
440	6328	65423
441	6345	65433
442	6360	65426
443	6376	65432
444	6392	65437
445	6408	65431
446	6422	65418
447	6439	65432
448	6455	65432
449	6471	65437
450	6488	65445
451	6503	65439
452	6519	65443
453	6534	65430
454	6550	65429
455	6564	65416
456	6581	65428
457	6597	65429
458	6614	65435
459	6628	65420
460	6643	65409
461	6657	65396
462	6672	65389
463	6689	65399
464	6704	65390
465	6718	65373
466	6732	65353
467	6748	65352
468	6762	65336
469	6777	65321
470	6792	65315
471	6808	65319
472	6825	65323
473	6842	65332
474	6856	65316
475	6870	65302
476	6885	65290
477	6900	65284
478	6918	65299
479	6934	65303
480	6950	65300
481	6965	65288
482	6981	65288
483	6998	65298
484	7013	65288
485	7027	65273
486	7042	65263
487	7060	65279
488	7075	65270
489	7093	65288
490	7108	65277
491	7123	65270
492	7139	65266
493	7154	65259
494	7169	65252
495	7184	65237
496	7199	65227
497	7214	65223
498	7232	65237
499	7247	65230
500	7265	65240
501	7281	65241
502	7296	65236
503	7311	65227
504	7330	65247
505	7346	65244
506	7361	65239
507	7376	65227
508	7392	65222
509	7407	65211
510	7422	65205
511	7438	65205
512	7454	65200
513	7470	65203
514	7486	65194
515	7501	65190
516	7516	65179
517	7534	65190
518	7549	65184
519	7565	65180
520	7582	65183
521	7597	65179
522	7612	65165
523	7627	65153
524	7644	65157
525	7659	65152
526	7676	65157
527	7692	65155
528	7709	65160
529	7726	65168
530	7744	65182
531	7759	65168
532	7773	65152
533	7789	65144
534	7805	65147
535	7820	65129
536	7836	65125
537	7852	65125
538	7868	65122
539	7883	65110
540	7900	65114
541	7916	65114
542	7932	65114
543	7949	65112
544	7971	65161
545	7989	65177
546	8007	65187
547	8027	65217
548	8048	65250
549	8067	65275
550	8086	65289
551	8105	65310
552	8126	65351
553	8144	65361
554	8167	65411
555	8187	65441
556	8206	65458
557	8225	65480
558	8243	65488
559	8259	65486
560	8280	65516
561	8296	65514
562	8313	65519
563	8331	65525
564	8345	65509
565	8360	65494
566	8377	65496
567	8394	65500
568	8411	65504
569	8426	65488
570	8440	65472
571	8455	65459
572	8471	65448
573	8486	65441
574	8501	65425
575	8516	65409
576	8530	65393
577	8547	65392
578	8563	65384
579	8579	65382
580	8594	65368
581	8609	65353
582	8625	65352
583	8641	65340
584	8658	65344
585	8674	65340
586	8689	65326
587	8705	65318
588	8720	65305
589	8735	65294
590	8750	65279
591	8768	65292
592	8784	65285
593	8800	65281
594	8817	65275
595	8831	65259
596	8848	65256
597	8863	65244
598	8878	65229
599	8894	65227
600	8909	65211
601	8926	65212
602	8941	65198
603	8956	65184
604	8971	65170
605	8988	65171
606	9003	65158
607	9019	65152
608	9034	65139
609	9050	65132
610	9065	65117
611	9080	65105
612	9097	65104
613	9113	65103
614	9129	65092
615	9146	65095
616	9162	65089
617	9178	65079
618	9193	65070
619	9210	65070
620	9225	65054
621	9242	65053
622	9257	65040
623	9273	65031
624	9290	65030
625	9305	65016
626	9320	65004
627	9336	64999
628	9351	64985
629	9367	64979
630	9383	64972
631	9400	64967
632	9416	64961
633	9430	64944
634	9445	64931
635	9461	64920
636	9475	64903
637	9493	64903
638	9508	64893
639	9525	64889
640	9541	64882
641	9557	64880
642	9573	64873
643	9590	64869
644	9606	64860
645	9621	64847
646	9636	64836
647	9652	64825
648	9669	64824
649	9684	64812
650	9699	64800
651	9715	64791
652	9732	64786
653	9749	64787
654	9765	64777
655	9783	64787
656	9799	64777
657	9816	64775
658	9831	64763
659	9848	64762
660	9865	64759
661	9881	64750
662	9898	64748
663	9914	64742
664	9930	64736
665	9946	64727
666	9963	64728
667	9980	64726
668	9998	64729
669	10014	64721
670	10030	64713
671	10046	64702
672	10062	64692
673	10077	64679
674	10093	64676
675	10110	64668
676	10124	64652
677	10142	64654
678	10158	64644
679	10173	64631
680	10188	64619
681	10204	64610
682	10222	64615
683	10238	64602
684	10254	64596
685	10270	64590
686	10285	64574
687	10300	64557
688	10317	64557
689	10333	64546
690	10348	64533
691	10366	64535
692	10382	64527
693	10398	64518
694	10413	64502
695	10428	64488
696	10443	64474
697	10459	64468
698	10474	64452
699	10491	64445
700	10507	64437
701	10522	64423
702	10538	64416
703	10553	64403
704	10569	64391
705	10583	64372
706	10598	64357
707	10613	64341
708	10628	64324
709	10643	64310
710	10658	64293
711	10674	64285
712	10689	64273
713	10705	64263
714	10721	64256
715	10737	64247
716	10752	64228
717	10765	64204
718	10779	64184
719	10794	64166
720	10808	64145
721	10822	64124
722	10837	64110
723	10851	64092
724	10870	64096
725	10884	64079
726	10899	64063
727	10914	64050
728	10929	64035
729	10943	64014
730	10958	63998
731	10972	63975
732	10988	63964
733	11002	63944
734	11016	63928
735	11031	63911
736	11046	63894
737	11059	63872
738	11074	63855
739	11090	63842
740	11104	63822
741	11121	63820
742	11137	63813
743	11154	63808
744	11170	63799
745	11185	63784
746	11202	63780
747	11217	63765
748	11231	63746
749	11247	63737
750	11265	63739
751	11282	63733
752	11296	63716
753	11317	63733
754	11334	63726
755	11352	63731
756	11377	63768
757	11398	63792
758	11417	63796
759	11435	63796
760	11451	63788
761	11469	63790
762	11489	63799
763	11508	63808
764	11526	63810
765	11542	63799
766	11558	63792
767	11575	63783
768	11590	63770
769	11607	63767
770	11623	63755
771	11638	63740
772	11653	63727
773	11670	63722
774	11684	63701
775	11700	63691
776	11714	63668
777	11729	63651
778	11743	63633
779	11758	63617
780	11773	63600
781	11788	63584
782	11803	63570
783	11819	63557
784	11833	63536
785	11847	63519
786	11861	63495
787	11875	63478
788	11890	63461
789	11905	63445
790	11920	63428
791	11935	63412
792	11949	63396
793	11965	63382
794	11979	63362
795	11992	63337
796	12006	63316
797	12020	63294
798	12033	63270
799	12047	63249
800	12062	63234
801	12076	63211
802	12089	63189
803	12103	63167
804	12117	63144
805	12130	63123
806	12144	63099
807	12158	63079
808	12173	63066
809	12188	63050
810	12202	63028
811	12216	63006
812	12230	62987
813	12245	62970
814	12258	62949
815	12272	62927
816	12286	62906
817	12300	62886
818	12315	62872
819	12331	62860
820	12345	62840
821	12361	62827
822	12375	62809
823	12389	62791
824	12406	62783
825	12419	62759
826	12435	62750
827	12450	62732
828	12465	62717
829	12479	62699
830	12494	62684
831	12508	62662
832	12522	62643
833	12536	62623
834	12551	62607
835	12567	62597
836	12582	62583
837	12597	62566
838	12610	62543
839	12626	62530
840	12641	62516
841	12655	62497
842	12670	62479
843	12685	62465
844	12700	62452
845	12715	62434
846	12729	62415
847	12743	62395
848	12759	62386
849	12773	62362
850	12786	62342
851	12800	62320
852	12814	62298
853	12828	62279
854	12843	62264
855	12858	62249
856	12871	62226
857	12885	62203
858	12898	62181
859	12914	62169
860	12928	62149
861	12941	62127
862	12956	62108
863	12971	62093
864	12985	62074
865	12999	62054
866	13013	62034
867	13026	62013
868	13041	61997
869	13056	61981
870	13071	61966
871	13085	61946
872	13099	61927
873	13114	61908
874	13129	61896
875	13143	61877
876	13158	61860
877	13172	61841
878	13186	61821
879	13200	61800
880	13213	61779
881	13229	61769
882	13243	61747
883	13257	61727
884	13273	61717
885	13287	61696
886	13301	61679
887	13316	61665
888	13331	61647
889	13345	61627
890	13358	61606
891	13372	61587
892	13386	61566
893	13402	61554
894	13416	61535
895	13431	61519
896	13445	61502
897	13459	61483
898	13473	61461
899	13487	61441
900	13501	61423
901	13516	61410
902	13531	61395
903	13546	61379
904	13560	61359
905	13574	61337
906	13588	61321
907	13602	61303
908	13617	61284
909	13631	61265
910	13645	61249
911	13659	61227
912	13674	61212
913	13689	61196
914	13703	61178
915	13717	61157
916	13731	61139
917	13747	61128
918	13761	61108
919	13774	61089
920	13790	61077
921	13805	61060
922	13818	61038
923	13832	61020
924	13847	61002
925	13861	60983
926	13875	60966
927	13889	60947
928	13903	60926
929	13918	60912
930	13934	60900
931	13947	60879
932	13963	60868
933	13978	60852
934	13992	60832
935	14006	60813
936	14019	60792
937	14035	60780
938	14049	60761
939	14065	60750
940	14079	60732
941	14093	60714
942	14108	60696
943	14122	60680
944	14137	60664
945	14152	60648
946	14167	60635
947	14181	60616
948	14196	60598
949	14210	60582
950	14225	60565
951	14241	60556
952	14256	60540
953	14271	60527
954	14286	60513
955	14302	60501
956	14318	60489
957	14332	60473
958	14349	60466
959	14365	60453
960	14380	60439
961	14395	60425
962	14411	60414
963	14427	60402
964	14442	60388
965	14460	60384
966	14475	60373
967	14491	60362
968	14508	60356
969	14527	60357
970	14544	60351
971	14560	60339
972	14578	60336
973	14596	60335
974	14614	60333
975	14633	60331
976	14649	60321
977	14665	60310
978	14681	60300
979	14699	60299
980	14718	60298
981	14734	60290
982	14752	60284
983	14770	60281
984	14788	60278
985	14805	60271
986	14823	60269
987	14840	60263
988	14858	60262
989	14875	60254
990	14892	60245
991	14910	60243
992	14927	60237
993	14947	60240
994	14964	60233
995	14983	60235
996	15001	60230
997	15018	60223
998	15036	60222
999	15052	60211
1000	15069	60201
1001	15087	60199
1002	15106	60198
1003	15125	60200
1004	15145	60203
1005	15162	60197
1006	15179	60189
1007	15195	60180
1008	15213	60174
1009	15231	60172
1010	15249	60168
1011	15266	60161
1012	15283	60153
1013	15300	60146
1014	15316	60135
1015	15335	60133
1016	15351	60123
1017	15369	60119
1018	15387	60114
1019	15403	60104
1020	15420	60095
1021	15436	60085
1022	15453	60075
1023	15471	60071
1024	15488	60065
1025	15505	60059
1026	15523	60054
1027	15540	60044
1028	15557	60038
1029	15574	60031
1030	15592	60024
1031	15609	60018
1032	15627	60012
1033	15643	60003
1034	15662	60002
1035	15679	59994
1036	15697	59987
1037	15715	59984
1038	15734	59983
1039	15751	59975
1040	15767	59965
1041	15785	59959
1042	15801	59950
1043	15818	59942
1044	15836	59935
1045	15853	59929
1046	15870	59921
1047	15889	59920
1048	15907	59913
1049	15925	59909
1050	15942	59902
1051	15961	59899
1052	15978	59891
1053	15995	59885
1054	16014	59882
1055	16031	59874
1056	16048	59865
1057	16064	59856
1058	16082	59850
1059	16099	59841
1060	16116	59833
1061	16134	59829
1062	16152	59823
1063	16169	59815
1064	16188	59813
1065	16205	59806
1066	16222	59797
1067	16240	59791
1068	16258	59787
1069	16277	59786
1070	16295	59781
1071	16314	59780
1072	16332	59772
1073	16351	59771
1074	16368	59763
1075	16384	59752
1076	16402	59745
1077	16420	59741
1078	16436	59729
1079	16452	59716
1080	16468	59704
1081	16485	59695
1082	16504	59692
1083	16520	59682
1084	16536	59669
1085	16555	59666
1086	16571	59655
1087	16588	59645
1088	16607	59644
1089	16625	59639
1090	16642	59630
1091	16659	59618
1092	16682	59632
1093	16699	59623
1094	16718	59623
1095	16735	59613
1096	16753	59608
1097	16772	59604
1098	16790	59598
1099	16808	59595
1100	16826	59588
1101	16844	59581
1102	16861	59572
1103	16878	59565
1104	16896	59557
1105	16912	59546
1106	16929	59535
1107	16948	59534
1108	16967	59533
1109	16984	59521
1110	17003	59518
1111	17022	59516
1112	17041	59515
1113	17058	59506
1114	17077	59502
1115	17094	59492
1116	17112	59488
1117	17130	59482
1118	17149	59477
1119	17165	59467
1120	17183	59460
1121	17201	59452
1122	17219	59447
1123	17235	59433
1124	17250	59419
1125	17268	59411
1126	17285	59404
1127	17302	59394
1128	17319	59382
1129	17336	59374
1130	17352	59360
1131	17369	59352
1132	17386	59342
1133	17402	59329
1134	17420	59321
1135	17438	59314
1136	17456	59308
1137	17473	59299
1138	17491	59292
1139	17508	59281
1140	17523	59267
1141	17542	59262
1142	17558	59251
1143	17576	59242
1144	17593	59233
1145	17609	59222
1146	17626	59210
1147	17643	59201
1148	17660	59192
1149	17677	59180
1150	17693	59166
1151	17709	59155
1152	17726	59145
1153	17743	59135
1154	17760	59125
1155	17776	59113
1156	17793	59100
1157	17811	59095
1158	17828	59084
1159	17844	59072
1160	17862	59064
1161	17879	59055
1162	17896	59046
1163	17913	59033
1164	17931	59026
1165	17948	59017
1166	17967	59013
1167	17985	59008
1168	18002	58996
1169	18021	58993
1170	18040	58988
1171	18056	58976
1172	18073	58967
1173	18091	58958
1174	18108	58947
1175	18125	58938
1176	18143	58930
1177	18159	58919
1178	18177	58910
1179	18193	58897
1180	18209	58884
1181	18228	58878
1182	18252	58891
1183	18273	58896
1184	18294	58896
1185	18318	58908
1186	18340	58915
1187	18360	58914
1188	18377	58904
1189	18395	58896
1190	18411	58883
1191	18428	58873
1192	18446	58863
1193	18462	58851
1194	18480	58843
1195	18497	58833
1196	18516	58830
1197	18535	58823
1198	18551	58811
1199	18569	58802
1200	18585	58790
1201	18602	58778
1202	18620	58770
1203	18638	58764
1204	18657	58758
1205	18673	58746
1206	18690	58734
1207	18707	58724
1208	18724	58713
1209	18741	58703
1210	18758	58691
1211	18775	58681
1212	18793	58674
1213	18812	58667
1214	18828	58655
1215	18846	58645
1216	18862	58634
1217	18882	58630
1218	18899	58620
1219	18916	58608
1220	18933	58599
1221	18950	58587
1222	18968	58581
1223	18988	58578
1224	19005	58568
1225	19021	58554
1226	19038	58543
1227	19055	58532
1228	19072	58521
1229	19089	58510
1230	19106	58498
1231	19123	58487
1232	19140	58476
1233	19159	58473
1234	19178	58467
1235	19195	58456
1236	19214	58451
1237	19231	58438
1238	19249	58432
1239	19265	58419
1240	19281	58402
1241	19299	58395
1242	19316	58384
1243	19333	58372
1244	19349	58358
1245	19365	58344
1246	19381	58331
1247	19399	58323
1248	19416	58310
1249	19434	58303
1250	19453	58296
1251	19470	58287
1252	19488	58277
1253	19504	58265
1254	19522	58255
1255	19538	58242
1256	19555	58231
1257	19573	58223
1258	19591	58214
1259	19608	58201
1260	19626	58195
1261	19645	58190
1262	19662	58178
1263	19678	58164
1264	19696	58155
1265	19714	58145
1266	19731	58135
1267	19748	58125
1268	19768	58120
1269	19784	58106
1270	19801	58095
1271	19818	58084
1272	19835	58073
1273	19851	58057
1274	19868	58046
1275	19884	58033
1276	19900	58019
1277	19917	58005
1278	19934	57995
1279	19956	57997
1280	19980	58008
1281	20001	58007
1282	20021	58003
1283	20039	57996
1284	20057	57988
1285	20077	57985
1286	20099	57988
1287	20118	57981
1288	20137	57974
1289	20155	57967
1290	20173	57957
1291	20193	57956
1292	20213	57951
1293	20232	57945
1294	20249	57934
1295	20269	57930
1296	20290	57929
1297	20311	57931
1298	20330	57922
1299	20349	57917
1300	20369	57914
1301	20389	57910
1302	20409	57907
1303	20428	57901
1304	20447	57895
1305	20465	57887
1306	20486	57886
1307	20505	57880
1308	20525	57875
1309	20543	57866
1310	20561	57858
1311	20580	57850
1312	20601	57850
1313	20621	57846
1314	20640	57839
1315	20658	57830
1316	20676	57822
1317	20696	57818
1318	20714	57810
1319	20735	57808
1320	20754	57802
1321	20774	57798
1322	20796	57799
1323	20815	57792
1324	20833	57783
1325	20852	57777
1326	20871	57770
1327	20889	57761
1328	20911	57763
1329	20930	57755
1330	20948	57745
1331	20966	57737
1332	20984	57727
1333	21002	57718
1334	21020	57708
1335	21040	57702
1336	21057	57691
1337	21077	57686
1338	21095	57678
1339	21113	57668
1340	21131	57659
1341	21149	57649
1342	21167	57639
1343	21188	57637
1344	21207	57629
1345	21225	57621
1346	21243	57612
1347	21262	57603
1348	21281	57597
1349	21300	57590
1350	21320	57584
1351	21338	57575
1352	21356	57567
1353	21376	57561
1354	21395	57553
1355	21416	57552
1356	21435	57546
1357	21454	57538
1358	21473	57531
1359	21492	57523
1360	21510	57514
1361	21529	57508
1362	21553	57511
1363	21571	57503
1364	21590	57494
1365	21609	57487
1366	21628	57481
1367	21647	57472
1368	21665	57464
1369	21685	57458
1370	21706	57456
1371	21724	57446
1372	21744	57441
1373	21764	57435
1374	21781	57424
1375	21800	57415
1376	21821	57414
1377	21842	57411
1378	21861	57405
1379	21881	57399
1380	21900	57390
1381	21921	57387
1382	21940	57382
1383	21961	57378
1384	21981	57373
1385	21999	57362
1386	22018	57356
1387	22038	57350
1388	22058	57345
1389	22079	57343
1390	22101	57342
1391	22120	57335
1392	22139	57326
1393	22157	57317
1394	22176	57310
1395	22195	57302
1396	22216	57299
1397	22237	57295
1398	22255	57285
1399	22274	57277
1400	22292	57267
1401	22311	57258
1402	22330	57251
1403	22349	57242
1404	22367	57232
1405	22387	57225
1406	22405	57215
1407	22423	57205
1408	22442	57196
1409	22461	57189
1410	22480	57181
1411	22499	57172
1412	22517	57162
1413	22535	57151
1414	22554	57144
1415	22572	57133
1416	22592	57127
1417	22611	57118
1418	22631	57112
1419	22651	57106
1420	22672	57104
1421	22692	57098
1422	22711	57090
1423	22730	57082
1424	22750	57076
1425	22769	57067
1426	22787	57057
1427	22806	57047
1428	22825	57038
1429	22844	57032
1430	22864	57025
1431	22883	57017
1432	22902	57008
1433	22920	56997
1434	22939	56989
1435	22958	56979
1436	22976	56969
1437	22995	56959
1438	23014	56953
1439	23034	56945
1440	23052	56934
1441	23072	56929
1442	23091	56919
1443	23111	56913
1444	23129	56902
1445	23147	56892
1446	23165	56881
1447	23185	56874
1448	23208	56875
1449	23227	56866
1450	23245	56855
1451	23264	56847
1452	23283	56837
1453	23300	56825
1454	23319	56815
1455	23337	56805
1456	23357	56798
1457	23376	56788
1458	23396	56783
1459	23415	56775
1460	23434	56764
1461	23454	56758
1462	23476	56756
1463	23494	56746
1464	23513	56737
1465	23534	56733
1466	23553	56724
1467	23575	56721
1468	23592	56708
1469	23610	56696
1470	23629	56688
1471	23648	56678
1472	23666	56667
1473	23684	56656
1474	23701	56643
1475	23720	56633
1476	23740	56627
1477	23758	56616
1478	23778	56607
1479	23798	56602
1480	23817	56592
1481	23837	56584
1482	23856	56577
1483	23875	56568
1484	23895	56560
1485	23915	56553
1486	23936	56548
1487	23958	56546
1488	23978	56541
1489	23998	56533
1490	24017	56523
1491	24037	56517
1492	24057	56509
1493	24076	56500
1494	24095	56491
1495	24113	56480
1496	24131	56469
1497	24150	56457
1498	24168	56447
1499	24186	56436
1500	24207	56429
1501	24225	56419
1502	24245	56411
1503	24265	56404
1504	24284	56394
1505	24302	56382
1506	24320	56370
1507	24338	56360
1508	24357	56348
1509	24376	56339
1510	24394	56329
1511	24412	56317
1512	24431	56306
1513	24450	56297
1514	24468	56284
1515	24486	56274
1516	24506	56265
1517	24524	56254
1518	24542	56242
1519	24560	56230
1520	24582	56228
1521	24601	56218
1522	24623	56215
1523	24643	56207
1524	24662	56198
1525	24684	56194
1526	24704	56187
1527	24724	56179
1528	24743	56170
1529	24761	56159
1530	24780	56149
1531	24799	56138
1532	24818	56129
1533	24836	56116
1534	24853	56103
1535	24873	56095
1536	24892	56085
1537	24911	56074
1538	24930	56064
1539	24948	56052
1540	24966	56041
1541	24984	56028
1542	25003	56019
1543	25022	56007
1544	25042	56001
1545	25061	55991
1546	25079	55979
1547	25098	55968
1548	25117	55959
1549	25136	55949
1550	25155	55939
1551	25174	55929
1552	25192	55917
1553	25213	55910
1554	25232	55900
1555	25251	55891
1556	25270	55881
1557	25288	55869
1558	25308	55861
1559	25328	55852
1560	25346	55840
1561	25365	55829
1562	25384	55819
1563	25403	55809
1564	25422	55800
1565	25442	55790
1566	25460	55778
1567	25479	55768
1568	25497	55755
1569	25515	55743
1570	25535	55736
1571	25554	55725
1572	25574	55717
1573	25592	55704
1574	25610	55692
1575	25629	55682
1576	25647	55670
1577	25667	55662
1578	25687	55653
1579	25706	55643
1580	25724	55631
1581	25745	55625
1582	25763	55612
1583	25782	55602
1584	25800	55589
1585	25818	55575
1586	25838	55567
1587	25857	55557
1588	25876	55547
1589	25897	55541
1590	25917	55533
1591	25936	55523
1592	25957	55516
1593	25976	55505
1594	25996	55497
1595	26015	55487
1596	26034	55475
1597	26053	55464
1598	26073	55457
1599	26091	55444
1600	26110	55434
1601	26128	55421
1602	26147	55411
1603	26166	55399
1604	26184	55386
1605	26204	55378
1606	26223	55368
1607	26242	55358
1608	26263	55350
1609	26281	55338
1610	26300	55327
1611	26321	55320
1612	26342	55313
1613	26359	55300
1614	26378	55287
1615	26397	55277
1616	26415	55265
1617	26434	55253
1618	26452	55242
1619	26471	55230
1620	26490	55220
1621	26509	55209
1622	26528	55198
1623	26547	55187
1624	26569	55181
1625	26590	55176
1626	26610	55166
1627	26630	55157
1628	26649	55147
1629	26668	55137
1630	26685	55122
1631	26706	55114
1632	26724	55101
1633	26742	55089
1634	26762	55079
1635	26780	55067
1636	26799	55056
1637	26820	55048
1638	26840	55039
1639	26860	55032
1640	26880	55022
1641	26899	55011
1642	26917	54999
1643	26935	54985
1644	26954	54973
1645	26972	54959
1646	26991	54948
1647	27010	54939
1648	27029	54927
1649	27050	54920
1650	27070	54911
1651	27091	54905
1652	27111	54896
1653	27132	54888
1654	27152	54878
1655	27171	54868
1656	27192	54860
1657	27213	54853
1658	27233	54845
1659	27256	54841
1660	27277	54833
1661	27296	54822
1662	27314	54808
1663	27331	54794
1664	27352	54787
1665	27372	54777
1666	27390	54764
1667	27410	54755
1668	27427	54739
1669	27445	54726
